date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:55:16	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Nov%202023%2018:25:15%20GMT	https://localhost:7162/robots.txt		(from )
23:55:16	102897/102897	---MC-	200	added ('OK')	text/html	date:Tue,%2028%20Nov%202023%2018:25:15%20GMT	https://localhost:7162/User/Checkout	C:/My%20Web%20Sites/cart/localhost_7162/User/Checkout.html	(from )
23:55:16	155615/155615	---M--	200	added ('OK')	text/css	etag:%221da22188a8c33df%22	https://localhost:7162/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/cart/localhost_7162/assets/css/vendor/bootstrap.min.css	(from https://localhost:7162/User/Checkout)
23:55:16	171040/171040	---M--	200	added ('OK')	text/css	etag:%221da22188a8cf020%22	https://localhost:7162/assets/css/vendor/font-awesome-pro.min.css	C:/My%20Web%20Sites/cart/localhost_7162/assets/css/vendor/font-awesome-pro.min.css	(from https://localhost:7162/User/Checkout)
23:55:17	16897/16897	---M--	200	added ('OK')	text/css	etag:%221da22188a8e2e01%22	https://localhost:7162/assets/css/vendor/themify-icons.css	C:/My%20Web%20Sites/cart/localhost_7162/assets/css/vendor/themify-icons.css	(from https://localhost:7162/User/Checkout)
23:55:17	3959/3959	---M--	200	added ('OK')	text/css	etag:%221da22188a8e6377%22	https://localhost:7162/assets/css/vendor/customFonts.css	C:/My%20Web%20Sites/cart/localhost_7162/assets/css/vendor/customFonts.css	(from https://localhost:7162/User/Checkout)
23:55:17	14966/14966	---M--	200	added ('OK')	text/css	etag:%221da22188a8e5676%22	https://localhost:7162/assets/css/plugins/select2.min.css	C:/My%20Web%20Sites/cart/localhost_7162/assets/css/plugins/select2.min.css	(from https://localhost:7162/User/Checkout)
23:55:17	4412/4412	---M--	200	added ('OK')	text/css	etag:%221da221889f5c4bc%22	https://localhost:7162/assets/css/plugins/perfect-scrollbar.css	C:/My%20Web%20Sites/cart/localhost_7162/assets/css/plugins/perfect-scrollbar.css	(from https://localhost:7162/User/Checkout)
23:55:18	13666/13666	---M--	200	added ('OK')	text/css	etag:%221da22188a8e5962%22	https://localhost:7162/assets/css/plugins/swiper.min.css	C:/My%20Web%20Sites/cart/localhost_7162/assets/css/plugins/swiper.min.css	(from https://localhost:7162/User/Checkout)
23:55:18	4007/4007	---M--	200	added ('OK')	text/css	etag:%221da221889f5da27%22	https://localhost:7162/assets/css/plugins/nice-select.css	C:/My%20Web%20Sites/cart/localhost_7162/assets/css/plugins/nice-select.css	(from https://localhost:7162/User/Checkout)
